dataset	model	rank	feature	mean_abs_shap
pcp_aac_ctd	knn	6	_HydrophobicityT12	0.010873941564398729
pcp_aac_ctd	knn	7	_ChargeT23	0.010741892668532588
pcp_aac_ctd	knn	8	_NormalizedVDWVC1	0.010028534580984532
pcp_aac_ctd	knn	9	instability	0.009753845696418462
pcp_aac_ctd	knn	10	_SecondaryStrC3	0.009533039845095823
pcp_aac_ctd	knn	11	_ChargeC3	0.008715596824727763
pcp_aac_ctd	knn	12	_ChargeD1100	0.008631182109018467
pcp_aac_ctd	knn	13	_ChargeD3075	0.008220775400343465
pcp_aac_ctd	knn	14	_PolarityC1	0.00819990613653375
pcp_aac_ctd	knn	15	_PolarizabilityC3	0.007842563243982557
pcp_aac_ctd	knn	16	_NormalizedVDWVC3	0.007680092937708279
pcp_aac_ctd	knn	17	_HydrophobicityC3	0.007629438631031902
pcp_aac_ctd	knn	18	_SecondaryStrC1	0.007543139089668772
pcp_aac_ctd	knn	19	P	0.007512909642246656
pcp_aac_ctd	knn	20	_SolventAccessibilityT23	0.007217456231838467
pcp_aac_ctd	logistic_regression	1	mw	0.05811988260019766
pcp_aac_ctd	logistic_regression	2	length	0.05578302690811639
pcp_aac_ctd	logistic_regression	3	_PolarizabilityD2100	0.04456503344585622
pcp_aac_ctd	logistic_regression	4	_SolventAccessibilityD1050	0.04066568265331744
pcp_aac_ctd	logistic_regression	5	_SecondaryStrD2100	0.04045090459058961
pcp_aac_ctd	logistic_regression	6	C	0.03842102539295547
pcp_aac_ctd	logistic_regression	7	_ChargeD1100	0.03654273844022788
pcp_aac_ctd	logistic_regression	8	_HydrophobicityD3100	0.03559011784051299
pcp_aac_ctd	logistic_regression	9	_ChargeD3050	0.03457621154325339
pcp_aac_ctd	logistic_regression	10	_SolventAccessibilityD3001	0.032416328898609625
pcp_aac_ctd	logistic_regression	11	_SecondaryStrT13	0.03231692696612822
pcp_aac_ctd	logistic_regression	12	_HydrophobicityT13	0.030875581798104252
pcp_aac_ctd	logistic_regression	13	_PolarityD2100	0.03044766145581845
pcp_aac_ctd	logistic_regression	14	instability	0.02958428217460271
pcp_aac_ctd	logistic_regression	15	_PolarityD1100	0.0291969700929072
pcp_aac_ctd	logistic_regression	16	W	0.027396134913985175
pcp_aac_ctd	logistic_regression	17	_SecondaryStrD1001	0.026858602501709718
pcp_aac_ctd	logistic_regression	18	_PolarizabilityD1075	0.02674646285783479
pcp_aac_ctd	logistic_regression	19	_PolarityD2075	0.026558609383596308
pcp_aac_ctd	logistic_regression	20	_SecondaryStrT23	0.02635232579370837
pcp_aac_ctd	svm_linear	1	length	0.04497707110334982
pcp_aac_ctd	svm_linear	2	mw	0.042816932716585994
pcp_aac_ctd	svm_linear	3	pI	0.030437516608168905
pcp_aac_ctd	svm_linear	4	C	0.029372708304959846
pcp_aac_ctd	svm_linear	5	_SolventAccessibilityD1050	0.028103469223842107
pcp_aac_ctd	svm_linear	6	_ChargeD1100	0.01998160600939044
pcp_aac_ctd	svm_linear	7	_PolarizabilityD2100	0.01976742863095388
pcp_aac_ctd	svm_linear	8	_PolarizabilityD1050	0.01948719731658917
pcp_aac_ctd	svm_linear	9	instability	0.019302630039626862
pcp_aac_ctd	svm_linear	10	W	0.0191529237301696
pcp_aac_ctd	svm_linear	11	_PolarityD2075	0.018908855567630518
pcp_aac_ctd	svm_linear	12	_SecondaryStrD3050	0.01804012308052232
pcp_aac_ctd	svm_linear	13	_SolventAccessibilityD3075	0.017922472223096068
pcp_aac_ctd	svm_linear	14	_HydrophobicityD3100	0.01766222046996418
pcp_aac_ctd	svm_linear	15	G	0.01763046099145847
pcp_aac_ctd	svm_linear	16	_ChargeT23	0.016968665285369916
pcp_aac_ctd	svm_linear	17	_HydrophobicityT13	0.016454756055531802
pcp_aac_ctd	svm_linear	18	_HydrophobicityD2100	0.016251110084190484
pcp_aac_ctd	svm_linear	19	_SecondaryStrT23	0.01593130902315439
pcp_aac_ctd	svm_linear	20	_SolventAccessibilityD3050	0.01590053691273246
pcp_aac_ctd	svm_rbf	1	length	0.03087178190147781
pcp_aac_ctd	svm_rbf	2	mw	0.030061472182409118
pcp_aac_ctd	svm_rbf	3	C	0.02351719749635486
pcp_aac_ctd	svm_rbf	4	pI	0.013878595486566525
pcp_aac_ctd	svm_rbf	5	_SolventAccessibilityD1050	0.011712474794799498
