dataset	seed	model	val_mcc	test_mcc	test_accuracy	test_f1	test_precision	test_recall
pcp_aac_ctd	9	random_forest	0.7520657131391064	0.8552530622637425	0.9619047619047619	0.8666666666666667	1.0	0.7647058823529411
pcp_aac_ctd	9	knn	0.6393036109588065	0.8007786875233289	0.9428571428571428	0.8333333333333334	0.7894736842105263	0.8823529411764706
pcp_aac_ctd	9	xgboost	0.7520657131391064	0.928840728025648	0.9809523809523809	0.9375	1.0	0.8823529411764706
pcp_aac_ctd_dpc	0	svm_linear	0.6918855882440867	0.7767551850454794	0.9428571428571428	0.8	0.9230769230769231	0.7058823529411765
pcp_aac_ctd_dpc	0	svm_rbf	0.7879788693213197	0.7783040514449475	0.9428571428571428	0.7857142857142857	1.0	0.6470588235294118
pcp_aac_ctd_dpc	0	logistic_regression	0.6918855882440867	0.8163443762793043	0.9523809523809523	0.8387096774193549	0.9285714285714286	0.7647058823529411
pcp_aac_ctd_dpc	0	random_forest	0.8264206038650982	0.7783040514449475	0.9428571428571428	0.7857142857142857	1.0	0.6470588235294118
pcp_aac_ctd_dpc	0	knn	0.44622369234103715	0.4005664951929506	0.7238095238095238	0.49122807017543857	0.35	0.8235294117647058
pcp_aac_ctd_dpc	0	xgboost	0.7496972056282853	0.7783040514449475	0.9428571428571428	0.7857142857142857	1.0	0.6470588235294118
pcp_aac_ctd_dpc	1	svm_linear	0.7894385026737968	0.7833679783648669	0.9333333333333333	0.8205128205128205	0.7619047619047619	0.8888888888888888
pcp_aac_ctd_dpc	1	svm_rbf	0.7783040514449475	0.8975274678557507	0.9714285714285714	0.9090909090909091	1.0	0.8333333333333334
pcp_aac_ctd_dpc	1	logistic_regression	0.820797503120229	0.8364388735388757	0.9523809523809523	0.8648648648648649	0.8421052631578947	0.8888888888888888
pcp_aac_ctd_dpc	1	random_forest	0.7783040514449475	0.8264206038650982	0.9523809523809523	0.8387096774193549	1.0	0.7222222222222222
pcp_aac_ctd_dpc	1	knn	0.42221359702280636	0.5164982893474038	0.7619047619047619	0.576271186440678	0.4146341463414634	0.9444444444444444
pcp_aac_ctd_dpc	1	xgboost	0.7783040514449475	0.8623164985025762	0.9619047619047619	0.875	1.0	0.7777777777777778
pcp_aac_ctd_dpc	2	svm_linear	0.6803033965014529	0.8007786875233289	0.9428571428571428	0.8333333333333334	0.7894736842105263	0.8823529411764706
pcp_aac_ctd_dpc	2	svm_rbf	0.7520657131391064	0.8927371841115679	0.9714285714285714	0.9090909090909091	0.9375	0.8823529411764706
pcp_aac_ctd_dpc	2	logistic_regression	0.6803033965014529	0.8144131117421551	0.9428571428571428	0.8421052631578947	0.7619047619047619	0.9411764705882353
pcp_aac_ctd_dpc	2	random_forest	0.6313679034867583	0.7360081490818708	0.9333333333333333	0.7586206896551724	0.9166666666666666	0.6470588235294118
pcp_aac_ctd_dpc	2	knn	0.3406303087686311	0.5298165768465799	0.780952380952381	0.5818181818181818	0.42105263157894735	0.9411764705882353
pcp_aac_ctd_dpc	2	xgboost	0.7132825035177587	0.7810706122033858	0.9428571428571428	0.8125	0.8666666666666667	0.7647058823529411
pcp_aac_ctd_dpc	3	svm_linear	0.7988505747126436	0.7266525869841677	0.9142857142857143	0.7692307692307693	0.6818181818181818	0.8823529411764706
pcp_aac_ctd_dpc	3	svm_rbf	0.8618420371603257	0.8549556701145169	0.9619047619047619	0.875	0.9333333333333333	0.8235294117647058
pcp_aac_ctd_dpc	3	logistic_regression	0.8364388735388757	0.7497771504927777	0.9238095238095239	0.7894736842105263	0.7142857142857143	0.8823529411764706
