feature	mean_abs_shap
QP	0.0004735184820979548
YV	0.00047259689782579644
KE	0.00046828763423172417
KT	0.00046807308841272593
WS	0.00046577663002857396
MI	0.0004626360139679051
VA	0.0004603943582786233
TF	0.00044940654540229414
TD	0.00044766008690505087
WL	0.0004471388437496818
KL	0.000440810848938619
RM	0.00043724721643598484
LT	0.0004327676400456285
KW	0.0004321360785776758
_SecondaryStrT23	0.00042794722185709224
TY	0.000427191829272336
TL	0.0004270589178877613
GM	0.000424053265233002
_SecondaryStrD3075	0.0004238882958386255
VY	0.0004195372029299788
_NormalizedVDWVD2025	0.00041637944947265525
_PolarityD3050	0.00041204371256351054
EF	0.00040757323932551914
FH	0.0004007635278799706
HG	0.000387012536675246
YW	0.0003847605631889297
FQ	0.0003840628176753951
IF	0.0003802312671931566
SR	0.0003790198983475689
EN	0.00037631544973063777
_PolarizabilityD3001	0.00037606203189143977
QD	0.00036960702134658925
DT	0.0003691882816831486
EI	0.0003578196273850229
FR	0.00035752678386460646
LF	0.00035689924547455126
_ChargeD2025	0.000356899165227419
RP	0.0003531429020116253
YI	0.0003524568180144872
SH	0.0003501079472136385
EM	0.00034945060342894647
VS	0.0003459431198644115
WI	0.0003430600251484626
HH	0.0003392562782448683
KH	0.0003388238623132843
_SolventAccessibilityD1025	0.00033696894267998875
HI	0.00033473142638917923
LR	0.0003338556680383198
VV	0.00033062743966277483
RL	0.000323780044486067
PP	0.0003200914991925822
FD	0.0003177530152230034
_NormalizedVDWVD1050	0.0003158069875018529
AL	0.000315269564295398
RK	0.00031419379827202513
YS	0.0003136284983796392
_PolarityD2001	0.00031225458806571595
_HydrophobicityD2001	0.00031159240362266336
_SecondaryStrD3025	0.00030880139037269986
CY	0.0003075943036433665
MG	0.0003049343528303721
_NormalizedVDWVD3001	0.00030352682160117623
QN	0.0003035218290679676
DS	0.00030106442160941316
_NormalizedVDWVD3050	0.00029771594892352357
HK	0.00029201282776851646
SN	0.000290971188424867
HA	0.0002890436681250875
_SolventAccessibilityD1075	0.00028524877731459164
AW	0.00028428651784988463
VM	0.0002835322791906653
_SolventAccessibilityT12	0.000281503882805889
N	0.0002811317687723203
_PolarizabilityD3050	0.000279861991564393
HC	0.0002772956844152391
WY	0.0002733789155300793
PF	0.0002724076847812463
_SolventAccessibilityD1001	0.00026740522103874446
SS	0.00026676942747936406
NF	0.00026626830449055935
QW	0.0002643912737548082
YN	0.00025790837546925806
WN	0.0002556470973853433
aromaticity	0.0002500578782280307
H	0.0002470969319069178
QI	0.0002459463876974155
SK	0.0002431598886908461
VH	0.00023768839527532149
_NormalizedVDWVD1001	0.00023464896997287866
VD	0.0002306715870851089
NL	0.00022808089590030308
FW	0.00022611386984882387
MD	0.0002233682369832297
YK	0.00021936789969760956
NS	0.00021397570998920811
NQ	0.0002126994289852524
QY	0.0002114639257483979
LN	0.00020851887657450234
NM	0.0002039716329101067
AN	0.00020181771222255
AC	0.0001945314937980152
_PolarizabilityC1	0.00019384497297534093
PK	0.00019104667629993717
_NormalizedVDWVD1075	0.00019103785084496108
LY	0.00018936158066709704
IY	0.00018932556984156478
_SolventAccessibilityT13	0.0001846222421668479
LQ	0.00018191925702025735
WF	0.00018143665584869592
WE	0.00018076899426743297
Y	0.00017390005915879068
II	0.00017084754294036559
_SecondaryStrD1001	0.00016901224424707516
_PolarizabilityD1001	0.00016556992838271065
_SolventAccessibilityD1100	0.00016236002653388423
AM	0.00016169786387399174
WA	0.0001608951594108371
GL	0.00015705983979985672
QM	0.00015663226683916657
NK	0.00015512331224788273
TP	0.00015229680783013615
QV	0.00015104502003755697
RD	0.00014834282900042032
MP	0.00014744510724338616
